subject,story_id,age,att,rating,condition
1,S11,34,I don't know,1,by phrase (locative)
1,S19,34,I don't know,4,by phrase (locative)
1,S01,34,I don't know,0,temporal prep
1,S02,34,I don't know,4,locative prep
1,S13,34,I don't know,4,temporal prep
1,S04,34,I don't know,4,by phrase (agentive)
1,S08,34,I don't know,3,by phrase (agentive)
1,S18,34,I don't know,4,locative prep
1,S10,34,I don't know,4,locative prep
1,S20,34,I don't know,2,by phrase (agentive)
1,S12,34,I don't know,3,by phrase (agentive)
1,S16,34,I don't know,4,by phrase (agentive)
1,S03,34,I don't know,0,by phrase (locative)
1,S09,34,I don't know,4,temporal prep
1,S17,34,I don't know,3,temporal prep
1,S06,34,I don't know,2,locative prep
1,S15,34,I don't know,1,by phrase (locative)
1,S14,34,I don't know,4,locative prep
1,S05,34,I don't know,2,temporal prep
1,S07,34,I don't know,0,by phrase (locative)
2,S06,57,last,1,temporal prep
2,S07,57,last,3,locative prep
2,S17,57,last,2,by phrase (agentive)
2,S01,57,last,1,by phrase (agentive)
2,S16,57,last,2,by phrase (locative)
2,S13,57,last,4,by phrase (agentive)
2,S04,57,last,0,by phrase (locative)
2,S08,57,last,1,by phrase (locative)
2,S14,57,last,3,temporal prep
2,S20,57,last,4,by phrase (locative)
2,S18,57,last,4,temporal prep
2,S10,57,last,3,temporal prep
2,S19,57,last,4,locative prep
2,S02,57,last,2,temporal prep
2,S11,57,last,4,locative prep
2,S09,57,last,4,by phrase (agentive)
2,S12,57,last,0,by phrase (locative)
2,S03,57,last,1,locative prep
2,S05,57,last,3,by phrase (agentive)
2,S15,57,last,2,locative prep
3,S12,39,Apologize,2,temporal prep
3,S16,39,Apologize,1,temporal prep
3,S19,39,Apologize,1,by phrase (agentive)
3,S14,39,Apologize,1,by phrase (locative)
3,S10,39,Apologize,4,by phrase (locative)
3,S20,39,Apologize,1,temporal prep
3,S05,39,Apologize,4,locative prep
3,S08,39,Apologize,2,temporal prep
3,S04,39,Apologize,3,temporal prep
3,S03,39,Apologize,4,by phrase (agentive)
3,S07,39,Apologize,4,by phrase (agentive)
3,S18,39,Apologize,2,by phrase (locative)
3,S15,39,Apologize,3,by phrase (agentive)
3,S01,39,Apologize,4,locative prep
3,S06,39,Apologize,0,by phrase (locative)
3,S17,39,Apologize,3,locative prep
3,S11,39,Apologize,3,by phrase (agentive)
3,S13,39,Apologize,2,locative prep
3,S09,39,Apologize,4,locative prep
3,S02,39,Apologize,0,by phrase (locative)
4,S02,23,pushed,2,by phrase (agentive)
4,S15,23,pushed,4,temporal prep
4,S14,23,pushed,3,by phrase (agentive)
4,S03,23,pushed,4,temporal prep
4,S01,23,pushed,1,by phrase (locative)
4,S04,23,pushed,1,locative prep
4,S16,23,pushed,3,locative prep
4,S12,23,pushed,1,locative prep
4,S07,23,pushed,1,temporal prep
4,S18,23,pushed,4,by phrase (agentive)
4,S19,23,pushed,4,temporal prep
4,S10,23,pushed,2,by phrase (agentive)
4,S06,23,pushed,1,by phrase (agentive)
4,S11,23,pushed,3,temporal prep
4,S05,23,pushed,2,by phrase (locative)
4,S08,23,pushed,1,locative prep
4,S13,23,pushed,1,by phrase (locative)
4,S09,23,pushed,0,by phrase (locative)
4,S20,23,pushed,2,locative prep
4,S17,23,pushed,0,by phrase (locative)
5,S08,38,careless,1,by phrase (locative)
5,S01,38,careless,4,by phrase (agentive)
5,S06,38,careless,1,temporal prep
5,S14,38,careless,1,temporal prep
5,S05,38,careless,0,by phrase (agentive)
5,S17,38,careless,2,by phrase (agentive)
5,S12,38,careless,0,by phrase (locative)
5,S03,38,careless,3,locative prep
5,S18,38,careless,2,temporal prep
5,S13,38,careless,3,by phrase (agentive)
5,S16,38,careless,1,by phrase (locative)
5,S10,38,careless,2,temporal prep
5,S15,38,careless,3,locative prep
5,S20,38,careless,3,by phrase (locative)
5,S07,38,careless,4,locative prep
5,S09,38,careless,3,by phrase (agentive)
5,S04,38,careless,0,by phrase (locative)
5,S19,38,careless,3,locative prep
5,S02,38,careless,0,temporal prep
5,S11,38,careless,3,locative prep
6,S14,28,pushed,3,temporal prep
6,S07,28,pushed,2,locative prep
6,S17,28,pushed,3,by phrase (agentive)
6,S02,28,pushed,1,temporal prep
6,S01,28,pushed,4,by phrase (agentive)
6,S12,28,pushed,0,by phrase (locative)
6,S09,28,pushed,2,by phrase (agentive)
6,S18,28,pushed,3,temporal prep
6,S08,28,pushed,0,by phrase (locative)
6,S04,28,pushed,0,by phrase (locative)
6,S06,28,pushed,0,temporal prep
6,S19,28,pushed,3,locative prep
6,S10,28,pushed,1,temporal prep
6,S05,28,pushed,1,by phrase (agentive)
6,S03,28,pushed,4,locative prep
6,S11,28,pushed,2,locative prep
6,S13,28,pushed,3,by phrase (agentive)
6,S15,28,pushed,4,locative prep
6,S20,28,pushed,3,by phrase (locative)
6,S16,28,pushed,3,by phrase (locative)
7,S03,28,past,1,by phrase (agentive)
7,S16,28,past,1,temporal prep
7,S01,28,past,1,locative prep
7,S04,28,past,2,temporal prep
7,S17,28,past,1,locative prep
7,S11,28,past,4,by phrase (agentive)
7,S18,28,past,1,by phrase (locative)
7,S19,28,past,2,by phrase (agentive)
7,S14,28,past,1,by phrase (locative)
7,S15,28,past,4,by phrase (agentive)
7,S07,28,past,3,by phrase (agentive)
7,S02,28,past,0,by phrase (locative)
7,S05,28,past,0,locative prep
7,S10,28,past,0,by phrase (locative)
7,S06,28,past,0,by phrase (locative)
7,S13,28,past,1,locative prep
7,S20,28,past,3,temporal prep
7,S09,28,past,4,locative prep
7,S08,28,past,0,temporal prep
7,S12,28,past,1,temporal prep
8,S18,38,i don't know,2,by phrase (agentive)
8,S13,38,i don't know,1,by phrase (locative)
8,S06,38,i don't know,0,by phrase (agentive)
8,S02,38,i don't know,1,by phrase (agentive)
8,S04,38,i don't know,2,locative prep
8,S19,38,i don't know,1,temporal prep
8,S05,38,i don't know,2,by phrase (locative)
8,S08,38,i don't know,1,locative prep
8,S17,38,i don't know,1,by phrase (locative)
8,S16,38,i don't know,2,locative prep
8,S10,38,i don't know,2,by phrase (agentive)
8,S12,38,i don't know,2,locative prep
8,S20,38,i don't know,3,locative prep
8,S07,38,i don't know,3,temporal prep
8,S14,38,i don't know,2,by phrase (agentive)
8,S09,38,i don't know,1,by phrase (locative)
8,S11,38,i don't know,1,temporal prep
8,S03,38,i don't know,2,temporal prep
8,S01,38,i don't know,1,by phrase (locative)
8,S15,38,i don't know,2,temporal prep
9,S08,32,I don't know,1,by phrase (locative)
9,S13,32,I don't know,3,by phrase (agentive)
9,S07,32,I don't know,4,locative prep
9,S20,32,I don't know,3,by phrase (locative)
9,S11,32,I don't know,3,locative prep
9,S19,32,I don't know,4,locative prep
9,S01,32,I don't know,3,by phrase (agentive)
9,S17,32,I don't know,3,by phrase (agentive)
9,S06,32,I don't know,1,temporal prep
9,S14,32,I don't know,2,temporal prep
9,S16,32,I don't know,1,by phrase (locative)
9,S12,32,I don't know,3,by phrase (locative)
9,S04,32,I don't know,0,by phrase (locative)
9,S10,32,I don't know,1,temporal prep
9,S03,32,I don't know,3,locative prep
9,S09,32,I don't know,2,by phrase (agentive)
9,S05,32,I don't know,1,by phrase (agentive)
9,S15,32,I don't know,2,locative prep
9,S18,32,I don't know,2,temporal prep
9,S02,32,I don't know,1,temporal prep
10,S09,45,apologise,2,by phrase (agentive)
10,S08,45,apologise,2,by phrase (locative)
10,S16,45,apologise,3,by phrase (locative)
10,S01,45,apologise,1,by phrase (agentive)
10,S05,45,apologise,2,by phrase (agentive)
10,S10,45,apologise,2,temporal prep
10,S13,45,apologise,3,by phrase (agentive)
10,S18,45,apologise,3,temporal prep
10,S04,45,apologise,1,by phrase (locative)
10,S17,45,apologise,2,by phrase (agentive)
10,S07,45,apologise,2,locative prep
10,S12,45,apologise,1,by phrase (locative)
10,S20,45,apologise,3,by phrase (locative)
10,S19,45,apologise,4,locative prep
10,S15,45,apologise,1,locative prep
10,S14,45,apologise,2,temporal prep
10,S02,45,apologise,2,temporal prep
10,S11,45,apologise,2,locative prep
10,S03,45,apologise,3,locative prep
10,S06,45,apologise,1,temporal prep
11,S07,19,I don't know,2,by phrase (agentive)
11,S04,19,I don't know,1,temporal prep
11,S17,19,I don't know,4,locative prep
11,S11,19,I don't know,2,by phrase (agentive)
11,S06,19,I don't know,1,by phrase (locative)
11,S14,19,I don't know,1,by phrase (locative)
11,S08,19,I don't know,1,temporal prep
11,S10,19,I don't know,1,by phrase (locative)
11,S19,19,I don't know,4,by phrase (agentive)
11,S13,19,I don't know,3,locative prep
11,S15,19,I don't know,4,by phrase (agentive)
11,S09,19,I don't know,3,locative prep
11,S12,19,I don't know,2,temporal prep
11,S02,19,I don't know,1,by phrase (locative)
11,S16,19,I don't know,2,temporal prep
11,S18,19,I don't know,1,by phrase (locative)
11,S01,19,I don't know,2,locative prep
11,S03,19,I don't know,3,by phrase (agentive)
11,S20,19,I don't know,2,temporal prep
11,S05,19,I don't know,3,locative prep
12,S15,20,I don't know,2,by phrase (locative)
12,S14,20,I don't know,2,locative prep
12,S03,20,I don't know,1,by phrase (locative)
12,S09,20,I don't know,3,temporal prep
12,S04,20,I don't know,2,by phrase (agentive)
12,S08,20,I don't know,1,by phrase (agentive)
12,S20,20,I don't know,2,by phrase (agentive)
12,S12,20,I don't know,3,by phrase (agentive)
12,S13,20,I don't know,3,temporal prep
12,S06,20,I don't know,1,locative prep
12,S10,20,I don't know,2,locative prep
12,S02,20,I don't know,2,locative prep
12,S18,20,I don't know,1,locative prep
12,S11,20,I don't know,1,by phrase (locative)
12,S01,20,I don't know,3,temporal prep
12,S05,20,I don't know,2,temporal prep
12,S19,20,I don't know,2,by phrase (locative)
12,S07,20,I don't know,1,by phrase (locative)
12,S16,20,I don't know,3,by phrase (agentive)
12,S17,20,I don't know,2,temporal prep
13,S08,28,later,2,by phrase (agentive)
13,S19,28,later,4,by phrase (locative)
13,S09,28,later,4,temporal prep
13,S20,28,later,4,by phrase (agentive)
13,S17,28,later,2,temporal prep
13,S16,28,later,2,by phrase (agentive)
13,S05,28,later,1,temporal prep
13,S18,28,later,1,locative prep
13,S04,28,later,1,by phrase (agentive)
13,S13,28,later,1,temporal prep
13,S15,28,later,1,by phrase (locative)
13,S06,28,later,1,locative prep
13,S10,28,later,2,locative prep
13,S12,28,later,3,by phrase (agentive)
13,S14,28,later,1,locative prep
13,S07,28,later,0,by phrase (locative)
13,S11,28,later,0,by phrase (locative)
13,S01,28,later,4,temporal prep
13,S03,28,later,0,by phrase (locative)
13,S02,28,later,1,locative prep
14,S14,27,I don't know,4,by phrase (locative)
14,S15,27,I don't know,4,by phrase (agentive)
14,S02,27,I don't know,1,by phrase (locative)
14,S10,27,I don't know,1,by phrase (locative)
14,S16,27,I don't know,2,temporal prep
14,S20,27,I don't know,3,temporal prep
14,S19,27,I don't know,2,by phrase (agentive)
14,S11,27,I don't know,0,by phrase (agentive)
14,S17,27,I don't know,4,locative prep
14,S03,27,I don't know,2,by phrase (agentive)
14,S06,27,I don't know,0,by phrase (locative)
14,S04,27,I don't know,0,temporal prep
14,S07,27,I don't know,4,by phrase (agentive)
14,S12,27,I don't know,3,temporal prep
14,S09,27,I don't know,4,locative prep
14,S13,27,I don't know,4,locative prep
14,S18,27,I don't know,2,by phrase (locative)
14,S08,27,I don't know,0,temporal prep
14,S01,27,I don't know,4,locative prep
14,S05,27,I don't know,2,locative prep
15,S18,22,later,3,temporal prep
15,S08,22,later,1,by phrase (locative)
15,S09,22,later,3,by phrase (agentive)
15,S12,22,later,1,by phrase (locative)
15,S10,22,later,4,temporal prep
15,S02,22,later,3,temporal prep
15,S14,22,later,2,temporal prep
15,S16,22,later,1,by phrase (locative)
15,S07,22,later,4,locative prep
15,S03,22,later,1,locative prep
15,S17,22,later,1,by phrase (agentive)
15,S13,22,later,4,by phrase (agentive)
15,S15,22,later,4,locative prep
15,S05,22,later,2,by phrase (agentive)
15,S01,22,later,2,by phrase (agentive)
15,S06,22,later,1,temporal prep
15,S04,22,later,4,by phrase (locative)
15,S19,22,later,4,locative prep
15,S20,22,later,1,by phrase (locative)
15,S11,22,later,4,locative prep
16,S13,33,Forced,1,by phrase (locative)
16,S04,33,Forced,3,locative prep
16,S15,33,Forced,4,temporal prep
16,S05,33,Forced,2,by phrase (locative)
16,S18,33,Forced,4,by phrase (agentive)
16,S12,33,Forced,3,locative prep
16,S07,33,Forced,3,temporal prep
16,S06,33,Forced,1,by phrase (agentive)
16,S14,33,Forced,1,by phrase (agentive)
16,S08,33,Forced,3,locative prep
16,S20,33,Forced,2,locative prep
16,S16,33,Forced,3,locative prep
16,S09,33,Forced,0,by phrase (locative)
16,S10,33,Forced,4,by phrase (agentive)
16,S01,33,Forced,0,by phrase (locative)
16,S11,33,Forced,4,temporal prep
16,S17,33,Forced,1,by phrase (locative)
16,S19,33,Forced,4,temporal prep
16,S02,33,Forced,1,by phrase (agentive)
16,S03,33,Forced,4,temporal prep
17,S07,22,asked,2,by phrase (agentive)
17,S18,22,asked,3,by phrase (locative)
17,S10,22,asked,0,by phrase (locative)
17,S19,22,asked,3,by phrase (agentive)
17,S09,22,asked,4,locative prep
17,S14,22,asked,4,by phrase (locative)
17,S12,22,asked,2,temporal prep
17,S03,22,asked,4,by phrase (agentive)
17,S17,22,asked,2,locative prep
17,S15,22,asked,4,by phrase (agentive)
17,S11,22,asked,3,by phrase (agentive)
17,S02,22,asked,0,by phrase (locative)
17,S01,22,asked,4,locative prep
17,S05,22,asked,3,locative prep
17,S16,22,asked,2,temporal prep
17,S04,22,asked,3,temporal prep
17,S08,22,asked,0,temporal prep
17,S13,22,asked,4,locative prep
17,S06,22,asked,0,by phrase (locative)
17,S20,22,asked,2,temporal prep
18,S04,24,heard,1,locative prep
18,S08,24,heard,0,locative prep
18,S19,24,heard,3,temporal prep
18,S02,24,heard,1,by phrase (agentive)
18,S09,24,heard,3,by phrase (locative)
18,S06,24,heard,0,by phrase (agentive)
18,S16,24,heard,2,locative prep
18,S20,24,heard,1,locative prep
18,S14,24,heard,3,by phrase (agentive)
18,S05,24,heard,1,by phrase (locative)
18,S17,24,heard,1,by phrase (locative)
18,S03,24,heard,3,temporal prep
18,S07,24,heard,3,temporal prep
18,S10,24,heard,2,by phrase (agentive)
18,S11,24,heard,2,temporal prep
18,S18,24,heard,0,by phrase (agentive)
18,S01,24,heard,0,by phrase (locative)
18,S12,24,heard,2,locative prep
18,S13,24,heard,0,by phrase (locative)
18,S15,24,heard,3,temporal prep
19,S05,38,inattentive,2,locative prep
19,S16,38,inattentive,1,temporal prep
19,S01,38,inattentive,4,locative prep
19,S13,38,inattentive,3,locative prep
19,S19,38,inattentive,4,by phrase (agentive)
19,S12,38,inattentive,3,temporal prep
19,S03,38,inattentive,4,by phrase (agentive)
19,S15,38,inattentive,2,by phrase (agentive)
19,S06,38,inattentive,1,by phrase (locative)
19,S20,38,inattentive,2,temporal prep
19,S09,38,inattentive,4,locative prep
19,S08,38,inattentive,1,temporal prep
19,S14,38,inattentive,1,by phrase (locative)
19,S11,38,inattentive,4,by phrase (agentive)
19,S17,38,inattentive,4,locative prep
19,S18,38,inattentive,2,by phrase (locative)
19,S02,38,inattentive,0,by phrase (locative)
19,S10,38,inattentive,1,by phrase (locative)
19,S04,38,inattentive,2,temporal prep
19,S07,38,inattentive,4,by phrase (agentive)
20,S18,20,I don't know,4,by phrase (agentive)
20,S07,20,I don't know,3,temporal prep
20,S13,20,I don't know,2,by phrase (locative)
20,S04,20,I don't know,2,locative prep
20,S03,20,I don't know,4,temporal prep
20,S08,20,I don't know,0,locative prep
20,S06,20,I don't know,0,by phrase (agentive)
20,S10,20,I don't know,4,by phrase (agentive)
20,S01,20,I don't know,1,by phrase (locative)
20,S17,20,I don't know,1,by phrase (locative)
20,S09,20,I don't know,1,by phrase (locative)
20,S05,20,I don't know,1,by phrase (locative)
20,S11,20,I don't know,3,temporal prep
20,S02,20,I don't know,2,by phrase (agentive)
20,S15,20,I don't know,4,temporal prep
20,S16,20,I don't know,3,locative prep
20,S12,20,I don't know,0,locative prep
20,S20,20,I don't know,4,locative prep
20,S14,20,I don't know,4,by phrase (agentive)
