subject,language,type,one,two,three,four,five,six,seven,eight,nine,ten
1,CH,Horiz,3221,2079,NA,2655,NA,2301,NA,2616,NA,NA
1,CH,Vert,NA,NA,1940,NA,1913,NA,2143,NA,2243,2168
11,EN,Horiz,2195,3112,NA,2555,NA,2612,NA,2612,NA,NA
11,EN,Vert,NA,NA,2735,NA,3051,NA,2423,NA,2509,3256
2,CH,Horiz,3400,NA,4018,3468,NA,NA,3268,3237,NA,NA
2,CH,Vert,NA,3326,NA,NA,3468,3075,NA,NA,3105,3079
12,EN,Horiz,2560,NA,2555,2995,NA,NA,2489,2362,NA,NA
12,EN,Vert,NA,2958,NA,NA,2684,2828,NA,NA,3066,3141
3,CH,Horiz,2606,2651,NA,2821,NA,2005,NA,2536,NA,NA
3,CH,Vert,NA,NA,2171,NA,2208,NA,1450,NA,2107,1863
13,EN,Horiz,3196,2918,NA,3269,NA,3319,NA,2967,NA,NA
13,EN,Vert,NA,NA,3381,NA,3230,NA,3762,NA,3554,3559
4,CH,Horiz,1711,NA,1626,1949,NA,NA,1650,1498,NA,NA
4,CH,Vert,NA,1492,NA,NA,1976,1262,NA,NA,1592,1233
14,EN,Horiz,1844,NA,1834,1871,NA,NA,1974,1461,NA,NA
14,EN,Vert,NA,2191,NA,NA,2059,1626,NA,NA,2008,1436
5,CH,Horiz,3799,3012,NA,3447,NA,3186,NA,2792,NA,NA
5,CH,Vert,NA,NA,3330,NA,3037,NA,2849,NA,3084,2869
15,EN,Horiz,2319,2208,NA,1409,NA,1720,NA,1738,NA,NA
15,EN,Vert,NA,NA,1699,NA,1883,NA,2418,NA,2228,1575
6,CH,Horiz,2695,NA,2777,2102,NA,NA,2457,2698,NA,NA
6,CH,Vert,NA,2414,NA,NA,2012,2788,NA,NA,2686,2459
16,EN,Horiz,2063,NA,1318,1948,NA,NA,2556,1647,NA,NA
16,EN,Vert,NA,1981,NA,NA,1788,1417,NA,NA,2025,1869
7,CH,Horiz,2878,2065,NA,2670,NA,2747,NA,2895,NA,NA
7,CH,Vert,NA,NA,2930,NA,2574,NA,1809,NA,1829,2571
17,EN,Horiz,2314,2436,NA,2013,NA,1989,NA,2160,NA,NA
17,EN,Vert,NA,NA,2157,NA,2680,NA,2024,NA,2490,2403
8,CH,Horiz,2799,NA,3076,2727,NA,NA,4125,3046,NA,NA
8,CH,Vert,NA,2712,NA,NA,3098,2558,NA,NA,2978,2436
18,EN,Horiz,1634,NA,2101,1843,NA,NA,2181,1491,NA,NA
18,EN,Vert,NA,2235,NA,NA,1892,2721,NA,NA,2094,2088
9,CH,Horiz,3211,2873,NA,2358,NA,2320,NA,2541,NA,NA
9,CH,Vert,NA,NA,2746,NA,2204,NA,1885,NA,2459,2654
19,EN,Horiz,1758,1445,NA,1723,NA,1020,NA,1361,NA,NA
19,EN,Vert,NA,NA,1766,NA,1865,NA,2150,NA,1132,1588
10,CH,Horiz,1586,NA,2522,2168,NA,NA,2415,2421,NA,NA
10,CH,Vert,NA,2226,NA,NA,1422,1899,NA,NA,2252,1463
20,EN,Horiz,1431,NA,2004,2088,NA,NA,1447,1249,NA,NA
20,EN,Vert,NA,2001,NA,NA,2183,1818,NA,NA,2413,2110
