"COURSE"	"FACULTY"	"SCHOOL"	"CLOS"
"130"	"ALIN591"	"Faculty of Humanities & Soc Sc"	"Linguistics & Applied Language"	""
"131"	"ALIN592"	"Faculty of Humanities & Soc Sc"	"Linguistics & Applied Language"	""
"132"	"ALIN690"	"Faculty of Humanities & Soc Sc"	"Linguistics & Applied Language"	""
"147"	"ANTH100"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	""
"148"	"ANTH101"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Identify and analyse fundamental ideas, concepts, and research practices of contemporary social and cultural anthropology;, 2-Undertake research utilising an anthropological perspective and communicate your findings in verbal and written form;, 3-Explain how different aspects of culture relate to one another and are integrated in a cultural system."
"149"	"ANTH102"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-have a functional understanding of key concepts in anthropology., 2-have a knowledge of a range of ethnographic material illustrating social and cultural diversity., 3-have the ability to draw connections between ethnography and theoretical concepts and among ethnographic cases., 4-have the skills in critical reading, bibliographic research and citation, and the clear presentation of ideas, in oral and written form"
"150"	"ANTH200"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	""
"151"	"ANTH201"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Recall and succinctly summarize theories of kinship, gender and sexuality in anthropology, 2-Identify how practices of gender, sexuality and kinship become linked to broader political, economic, social and technological trends, 3-Identify and critically evaluate the cultural underpinnings and assumptions within contemporary public debates about kinship, gender, and sexuality"
"152"	"ANTH204"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Have a deeper understanding of some central currents within contemporary anthropological thought, 2-Develop a greater ability to critically analyse anthropological writing in general and, 3-Think and write about human society and culture in more theoretically informed ways."
"153"	"ANTH208"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Illustrate understanding of anthropological approaches to humanitarianism, human rights interventions, development projects and geopolitics by generating examples of different cultural experiences and practices related to such interventions., 2-Identify and critically analyse key ethical and political issues involved in international human rights, development and humanitarian interventions., 3-Identify and critically analyse (in writing and orally) issues of culture and politics as they affect international interventions and global policies."
"154"	"ANTH209"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-critically evaluate anthropological approaches to conflict and reconciliation;, 2-apply anthropological theories of conflict and reconciliation to ethnographic case studies;, 3-identify and conduct self-led research on conflict and/or reconciliation, to critically engage with contemporary debates within anthropological studies on conflict and/or reconciliation"
"155"	"ANTH209"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-critically evaluate anthropological approaches to conflict and reconciliation;, 2-apply anthropological theories of conflict and reconciliation to ethnographic case studies;, 3-identify and conduct self-led research on conflict and/or reconciliation, to critically engage with contemporary debates within anthropological studies on conflict and/or reconciliation"
"156"	"ANTH210"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Analyse culture&rsquo;s role in shaping human experiences and perceptions of the material and ecological environment., 2-Critically evaluate the usefulness of core anthropological concepts for understanding contemporary environmental issues., 3-Creatively apply anthropological theories of the environment to a range of different ethnographic case studies., 4-Express informed perspectives on how social and cultural factors impact contemporary ecological and climate crises and debates."
"157"	"ANTH213"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Recognise how rituals are structured and analysed by anthropologists; and how rituals are involved in making/constructing meaning as well as structures of power and resistance., 2-Contextualise, describe and analyse rituals in your own, related and different cultures., 3-Undertake basic non-participant observation, take field notes, and write up a field report."
"158"	"ANTH214"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Explain the core principles of&nbsp;critical design anthropology, 2-Analyse the relationship between design and culture, 3-Recognise Eurocentric notions of design in social change and identify the social harms caused, 4-Implement core design anthropology principles in a small research project_x000D_
&nbsp;"
"159"	"ANTH215"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Identify and critically discuss core issues in the anthropology of education., 2-Compare anthropological approaches to education from a range of ethnographic case studies., 3-Use core anthropological issues and approaches in analysing of the role of education in society."
"160"	"ANTH300"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	""
"161"	"ANTH301"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Critically evaluate anthropological approaches to relationships between humans, science and technology, 2-Apply anthropological approaches to science and technology to a range of ethnographic examples, 3-Carry out an independent anthropological analysis of an aspect of technology-human interface"
"162"	"ANTH307"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-succinctly summarise a range of foundational and contemporary concepts in medical anthropology;, 2-creatively synthesise and apply core theoretical concepts in medical anthropology to a range of ethnographic examples and contemporary medical issues;, 3-critically evaluate the usefulness of core theoretical concepts for understanding contemporary medical issues;, 4-critically reflect upon and recognise the wider social and cultural influences affecting our own beliefs and practices of health, illness, the body and medicine;, 5-express informed perspectives on the relationship between culture, inequality and illness, drawing on diverse ethnographic settings."
"163"	"ANTH308"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	""
"164"	"ANTH312"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Identify and critically analyse key ethical and political issues involved in the representation of other people., 2-Critically compare and analyse different modes of ethnographic scholarship and ethnographic text (written and visual) and critique their relative strengths and weaknesses., 3-Illustrate an understanding of the different concerns of representation between visual and written texts, and their impacts on the politics of representation"
"165"	"ANTH313"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Explain the core principles of&nbsp;critical design anthropology, 2-Critically analyse the relationship between design and culture, 3-Critique Eurocentric notions of design in social change and identify the social harms caused, 4-Implement core design anthropology principles in a small research project_x000D_
&nbsp;"
"166"	"ANTH314"	"Faculty of Humanities & Soc Sc"	"Social & Cultural Studies"	"1-Critically evaluate anthropological approaches to architecture and the built environment, 2-Relate anthropological theories about the built environment to a range of ethnographic examples, 3-Carry out an independent and original anthropological analysis of one or more buildings"
